variable_name,values,drug_name,type,subtype
Actilyse,3673,Alteplase,Antithrombotic,Thrombolytics
Actilyse Amp.20mg  Lsg.,976,Alteplase,Antithrombotic,Thrombolytics
Actilyse Amp.50mg Lsg,460,Alteplase,Antithrombotic,Thrombolytics
Adalat retard CR Tbl 30 mg,23,Nifedipine,Vasodilator,Calcium channel blocker
Adalat retard Tbl 20 mg,24,Nifedipine,Vasodilator,Calcium channel blocker
Adrenalin  1mg/ml,789,Adrenalin,Vasopressor,Adrenalin
Adrenalin 10 µg/ml Bolus,7000,Adrenalin,Vasopressor,Adrenalin
Adrenalin 100 µg/ml Bolus,353,Adrenalin,Vasopressor,Adrenalin
Adrenalin 100 µg/ml Perfusor,112800,Adrenalin,Vasopressor,Adrenalin
Adrenalin 20 µg/ml Perfusor,135588,Adrenalin,Vasopressor,Adrenalin
Aggrastat Inf Lsg,135,Tirofiban,Antithrombotic,Antiplatelet
Akineton Inj Lsg 5 mg/ml,106,Biperiden,#,
Aldactone Filmtbl 100 mg,864,Aldactone,Antimineralcorticoid,
Aldactone Filmtbl 25 mg,2791,Aldactone,Antimineralcorticoid,
Aldactone Filmtbl 50,357,Aldactone,Antimineralcorticoid,
AmBisome Inf Lsg,422,AmBisome,Antifungal,
Aminophyllin 240 mg,0,Aminophyllin,Bronchodilator,
Aminophyllin BOLUS,13,Aminophyllin,Bronchodilator,
Amlodipin Tbl 10 mg,2023,Amlodipin,Vasodilator,Calcium channel blocker
Amlodipin Tbl 5 mg,959,Amlodipin,Vasodilator,Calcium channel blocker
Amlodipin Tbl 5mg,16,Amlodipin,Vasodilator,Calcium channel blocker
Ampho-Moronal Lutschtabletten,18,amphotericin b,Antifungal,
Ampho-Moronal Susp,4591,amphotericin b,Antifungal,
Anexate 0.5mg/ 5 ml,4888,Flumazenil,Reverse benzodiazepine,
Argatra Inf Lsg,5555,Argotroban,Antithrombotic,Anticoagulant
Aspirin cardio Tbl 300 mg,638,Aspirin,Non-opioid painkiller,
Aspirin Tbl 100 mg,20537,Aspirin,Non-opioid painkiller,
Aspirin Tbl 500 mg,6,Aspirin,Non-opioid painkiller,
Aspégic Inj Lsg 500 mg/5ml,1165,Aspirin,Non-opioid painkiller,
ATG Fresenius 100mg/5 ml,2611,ATG,Transplant,
Atropine Sulfat Sintetica inj 0.5 mg/ml,1020,Atropine,#,
Atrovent Inhal Lsg 0.25 mg/2ml,28139,Atrovent,Bronchodilator,
Atrovent N Dosieraerosol,23422,Atrovent,Bronchodilator,
Augmentin 1.2 Inj Lsg,27417,Augmentin,Antibiotic,
Augmentin 2.2 Inf Lsg,5795,Augmentin,Antibiotic,
Augmentin AD Tbl 1 g,93,Augmentin,Antibiotic,
Augmentin Tabl 625 mg,213,Augmentin,Antibiotic,
Augmentin Inj 2.2g,0,Augmentin,Antibiotic,
Avalox Filmtbl 400 mg,118,Avalox,Antibiotic,
Avalox Inf Lsg 400 mg,100,Avalox,Antibiotic,
Bactrim Amp 400/80 mg Inf Lsg,9,Bactrim,Antibiotic,
Bactrim Amp. 400/80 mg Inf Lsg,16,Bactrim,Antibiotic,
Bactrim forte Lacktbl,962,Bactrim,Antibiotic,
